Attribute,Frequency
ap lateral oblique,1
"diffusion-weighted
 images",1
hallux rigidus,1
dual-lead pacemaker insertion,1
a left chest pacemaker,1
"a stat
 lock",1
a 40 cm single lumen picc,1
the brachiocephalic vein/superior vena cava,1
113351,1
36484,1
31275,1
apical fluid,1
65m h/o chf/ascites recent lungca resection,1
nosocomial pna,1
apical fluid collection,1
"[**2158-2-2**] 10:16 am
 chest",1
26.4,1
82yr,1
73839,1
recent lung ca resection,1
[**2158-2-9**] 10:41 am,1
no additional abnormal foci,1
dual intracardiac pacer,1
final fluoroscopic chest,1
"the
  maxillary sinuses",1
"*] 4:08 pm
 mr head w",1
"the periventricular white
  matter",1
"septic
  embolism",1
3. soft tissue edema,1
113348,1
calcaneal,1
hallux,1
"needs
  staging",1
rigidus,1
"4:13 pm
 picc",1
"lung mass left/sda
  contrast",1
nsslc s/p resection,1
"chf, non-
 small cell lung carcinoma",1
a #21 gauge needle,1
"a
 .018 guide wire",1
"11:30 am
  study",1
"40
 cm",1
"a
 #4 french introducer",1
"an ultrasound-guided
 spot",1
the right mid-,1
a coarse calcification,1
any recent history,1
left thorax,1
"[**2146-4-19**] 6:59 pm
  increased fluid accumulation",1
contrast;please,1
"] 6:41 pm
 chest",1
ventilatory demand,1
"possible subtle right middle lung
 zone opacity",1
stumps,1
81608,1
55373,1
post-surgical complications,1
"the ap
 window level",1
"the
 underlying osseous structures",1
"[**2-14**].

 history",1
the front view,1
the stumps,1
"the stated left
 pneumonectomy",1
the remaining left upper thorax,1
"s/p
 pneumonectomy",1
"limited
 noncontrast evaluation",1
horizontal fluid line,1
the post-pneumonectomy stem,1
limited noncontrast evaluation,1
also some increase,1
"postobstructive
  pneumonia",1
"small bowel and colon
 loops",1
multiple soft tissue nodules,1
post-injection granulomas,1
53844,1
slight further expected increase,1
no new lytic or sclerotic bone lesions,1
"the fifth posterior
 left rib",1
2.  unchanged segmental atelectasis/consolidation,1
53845,1
3.  unchanged centrilobular nodules,1
an acute pathologic process,1
the depending collections,1
"[**4-24**]

 history",1
55372,1
"lung
 markings",1
three days status post,1
"severe chronic
 hydronephrosis",1
the last sentence,1
51585,1
18090,1
"right small pleural
 effusion",1
"left-sided port-a-
 cath",1
expected elevated left hemidiaphragm,1
"the
 left pleural cavity",1
amount fluid,1
09:55 am,1
"[**2121-3-20**] 11:08 am
  interval increase",1
50191,1
absent left vocal cord movement,1
"no
 penetration",1
the valleculae or piriform sinuses,1
no significant residue,1
pureed consistency barium,1
swallow pathology team,1
pneumonectomy and vocal cord paralysis,1
some fluid beginning,1
corrected report,1
standard appearance,1
minimal atelectatic change,1
"[**2146-4-21**] 9:16 am
 chest",1
interval left pneumonectomy,1
"the right central venous
 catheter projects",1
"soft
  tissues",1
"[**2146-4-18**] 3:13 pm
  pfi",1
active congestive heart failure,1
prior upper abdominal surgery,1
"rising
    wbc",1
"[**2-6**].

 history",1
80011,1
"] 12:10 pm
 chest",1
"**] 9:33 am
 chest",1
"chf.
 reason",1
a sternal wound,1
"[**2175-2-6**].

 findings",1
81602,1
55371,1
severe cortical thinning,1
an open sternal wound,1
previously 3 mm,1
73431,1
this short-interval study,1
the medical history,1
81244,1
"central
 carcinoma",1
unchanged relatively widespread retrocardiac,1
the ett projects,1
"[**2158-2-9**].

 findings",1
"increased ventilatory
 demand",1
rising wbc,1
"[**2175-2-21**].
 ap bedside chest",1
"the short
 interval study",1
73559,1
"prior
 cabg",1
stable left-sided findings,1
improved patchy consolidation,1
improved infection,1
recent exams,1
"a preexisting
 left-sided pleural effusion",1
retrocardiac consolidation,1
"the large
 left infrahilar mass",1
"scc lung
 reason",1
the clinical staff,1
113349,1
a pretracheal node measures,1
right mastectomy,1
"circumflex and right
 coronary arteries",1
"a
 simple-attenuation pericardial effusion",1
patchy posterior opacities,1
a peripheral nodule,1
"1.5
 x 1.1 cm",1
a spiculated nodular opacity,1
"the left
 lower lobe collapse",1
"**] 9:50 am
 chest",1
the infrahilar lesion,1
adjacent pneumonia,1
as much as 5.6 x 5.2 cm,1
"the
 non-contrast technique",1
:  increased interstitial markings,1
"the
 medial right chest base",1
81609,1
"recent post-obstructive pna
 reason",1
endotracheal position,1
a stable retrocardiac opacity,1
unchanged left basal consolidation,1
81612,1
"left
 lower lobe consolidation",1
"infection
 contraindications",1
a left moderate pleural effusion,1
"[**2158-2-3**].

 findings",1
"a sternal
 wound",1
"continued
 interval enlargement",1
"pfi report
 persistent consolidation",1
19 x 18 mm,1
"4:20 am
 chest",1
73558,1
"consolidative
 changes",1
the moderate degree,1
"the remaining
 airways",1
no mediastinal fluid collection,1
2.  picc,1
"both
 upper lobes",1
"now
    s/p wound closure",1
74778,1
wound closure,1
a closure device projects,1
"[**2158-2-10**].

 semi-upright ap chest",1
the mid and lower sternum,1
tracheostomy tube tip projects,1
04:49,1
"[**2175-2-25**] 2:14 pm
 chest port",1
wrong,1
74131,1
"[**doctor first name 2758**]
 ______________________________________________________________________________
                                 final report
 history",1
04:49 hours,1
"sternal wound, pneumonia,
 right picc placement",1
"earlier film
 reason",1
"a right
 picc",1
wrong name,1
"*] 12:15 pm
 chest",1
are increased interstitial markings,1
a small vague opacity,1
81607,1
lires,1
new right sided pulmonary edema,1
"prior study from approximately 12 hours earlier.

 findings",1
"an endotracheal
 tube tip",1
a pericardiocentesis drain,1
the upper abdominal midline,1
510,1
4:174,1
tethers,1
"prior
 left lobectomy",1
retained surgical instrument,1
"a right
  paratracheal node",1
4:183,1
myself,1
"9:00
 p.m.",1
adrenal hyperplasia,1
80526,1
"[**2130-1-11**] 9:18 pm
 chest",1
"[**2130-1-11**], 5:58 p.m.

 findings",1
subtotal unchanged opacification,1
"[**2130-1-11**]

 clinical history",1
"instrument
 admitting diagnosis",1
"[**2130-1-11**] 6:05 pm
 chest",1
80307,1
4-mm cyst,1
1-cm peripelvic cyst,1
bilateral high-grade renal artery stenoses,1
"there is delayed
 enhancement",1
86195,1
86196,1
the proximal right renal artery,1
gadolinium-bopta,1
"final report
 renal mra",1
"[**2130-1-11**] 6:30 pm
 chest",1
"o.r.
 reason",1
fluoroscopic documentation,1
a pericardial window ivc filter,1
"delayed
  enhancement",1
no radiologist,1
"[**2134-8-23**] 8:33 pm
  bilateral high-grade stenoses",1
the intervention,1
moderately severe centrilobular emphysema,1
"the aorta and moderate
 calcification",1
"the right
 lower lobe pulmonary artery",1
"[**2130-1-12**] 9:50 am
 chest port",1
a small pulmonary embolus,1
81483,1
the right middle lobe artery,1
"the
 mass abuts",1
superior aspect,1
"a large heterogeneous 4.4 x 3.7 cm
 mass",1
"[**2134-8-18**].

 technique",1
[**2134-8-18**] and chest radiograph,1
"minimal
  enhancement",1
a severely atrophic left kidney,1
"the visualized upper
  abdominal aorta",1
extensive irregular atheromatous plaque,1
"a
  pulmonary embolus",1
the 1 mm slice thickness images,1
"a single
  subsegmental pulmonary arterial branch",1
"the pulmonary
  arteries",1
12998,1
"the extensive left
 parenchymal opacities",1
the right lower lobe artery,1
"no
 fully ventilated left lung areas",1
80527,1
small segmental pulmonary embolus,1
"a small
 axial hiatal hernia",1
no focal nodule,1
no concerning hepatic lesions,1
"a
 subsequently atrophic left kidney",1
extensive calcified and soft plaque,1
", increased vascular diameters",1
moderate calcification,1
severe apical predominant emphysema,1
a small prevascular node,1
smaller left hilar nodes,1
"21 x 16 mm right paratracheal
 lymph node conglomerate",1
11- mm precarinal node,1
"a 16-mm
 subcarinal node",1
fluid overload persist,1
two 12-mm right hilar nodes,1
an 8-mm ovoid nodule,1
the dynamic series,1
"(cont)
 bilateral high-grade stenoses",1
small intracranial metastasis,1
aortic stenosis,1
the post-contrast sequence,1
2.1 x 1.3 cm,1
"a right lower
 paratracheal lymph node measures",1
"no enhancing
 brain lesions",1
a subcarinal lymph node measures,1
"5.8 x 3.7 x
 3.3 cm",1
the right lung measures,1
an irregularly shaped mass,1
"the previous
 outside mri",1
gadolinium-dtpa intravenous contrast,1
"0.1
 mmol/kg",1
mra protocol,1
differential blood pressure,1
"[**2142-11-26**] 12:21 pm
  interval decrease",1
pcp pneumonia,1
"[**2142-11-26**].

 findings",1
"left
 opacification",1
"no other
 focal bony abnormalities",1
previously noted bony metastasis,1
"the bilateral pulmonary
 opacities",1
irregular mural thrombus,1
dedicated evaluation,1
"the mid thoracic
 vertebra",1
3646,1
a 7-mm high-intensity focus,1
"the proximal
 abdominal aorta",1
irregular mural plaque,1
no large central pulmonary embolism,1
"[**2142-12-1**] 11:53 am
  pfi",1
"the
 brachiocephalic artery",1
"a moderate-
 to- severe stenosis",1
a moderate-to- severe stenosis,1
"no enhancing brain
  lesions",1
"an 8-mm
 filling defect",1
t1-weighted fat suppressed sequences,1
"the previous outside
  mri",1
a subtle signal abnormality,1
"the outer
 table",1
"[**2142-11-26**] 3:01 pm
  interval placement",1
"a normal cardiomediastinal
 silhouette",1
bilateral renal atrophy,1
86193,1
"[**2134-8-20**]  9:31 pm
 mra abdomen w&w/o contrast                                      clip #",1
quantified,1
"[**2142-11-30**] 6:59 pm
 ct head w/ & w/o contrast                                       clip #",1
imparied,1
pcp s/[**initials,1
"new seizure
 reason",1
juxtarenal,1
"[**2142-11-30**] 7:13 pm
  no acute intracranial abnormality",1
"vascular
 territorial infarction",1
"limited
 assessment",1
intracranial vasculature,1
nuclear medicine,1
the  left kidney,1
"a small right
 parietal osseous lytic focus",1
"the
 function",1
"no
 suspicious sclerotic or lytic osseous lesion",1
2.  unchanged lytic focus,1
10894,1
bilateral high-grade stenoses,1
"the left
  subclavian",1
the left upper mid lung,1
"[**2142-11-26**] 2:27 pm
 chest port",1
"[**2142-11-26**] 3:38 pm
  re",1
"3.5 cm
  distal",1
"nodal
  metastases",1
jwic wed,1
picc line adjustment,1
"no longer
 curls",1
"the
 bilateral pulmonary opacities",1
"[**2142-11-19**].

 findings",1
"a massive
 progression",1
the pre-existing left lower lobe opacity,1
a widespread right lower lobe opacity,1
unchanged small retrocardiac atelectasis,1
unchanged bilateral symmetrical apical thickening,1
85722,1
"suspected pcp pna
 reason",1
suspected pcp,1
"up to 1.3
  cm",1
"right hilar and
  mediastinal nodes",1
"postoperative
  ischemia",1
an overall normal appearance,1
possible additional edema,1
"post-surgical and radiation
  changes",1
3. no pleural or pericardial effusion,1
"a nondistended
 gallbladder",1
a very large gallstone,1
"a
 small hepatic cyst",1
distal trachea distal,1
perihepatic and pelvic ascites,1
6. low density,1
"[**2130-1-14**] 3:33 pm
 chest",1
approximately 17 x 9 mm,1
the intravascular space,1
"known
  pulmonary emboli",1
a left paraaortic location,1
"small
 retroperitoneal lymph nodes",1
the contralateral right adrenal gland,1
"a similar, much smaller 13 mm lesion",1
"the past
 24 hours",1
predominantly ground glass opacities,1
"(cont)

 loops",1
both l4,1
"thanks.
 contraindications",1
"[**2184-6-2**] 2:34 pm
 ct head w/o contrast                                            clip #",1
et tube positioning,1
vertebral compression fractures,1
"initial
 interpretation",1
",
 physician's assistant",1
mediastinal lymph node,1
79197,1
"a large left upper lobe
 mass",1
iv lung cancer,1
"s/p line
 reason",1
[**2130-2-6*,1
right ij tip,1
focal fatty replacement,1
"atrophic
 psoas muscles",1
superior cavoatrial junction,1
81803,1
past 24 hrs,1
an occult infection,1
upper lung lobectomy,1
"neoadjuvant
 chemoradiation",1
"the chest x-
 ray abnormality",1
intracranial mass lesions,1
"no gross
 pathology",1
"no peritoneal or retroperitoneal
 lymphadenopathy",1
suspicious lesion,1
multiple cns lesions,1
30374,1
no concerning lymphadenopathy,1
"the mild subfalcine
 herniation",1
the multiple metastatic lesions,1
vasectomy clips,1
"the
 technical differences",1
the  left frontal lobe,1
"the bilateral cerebellar
 hemispheres",1
axial mp-rage post-contrast images,1
"multiple metastatic brain
 lesions",1
concerning lytic or osteoblastic lesions,1
52-year-old female patient,1
mild underlying emphysematous changes,1
a large 1.9 x 1.8 cm prevascular lymph node,1
mgy-cm,1
a right precarinal location,1
highly positioned endotracheal tube,1
"a thickened, somewhat nodular enhancing
 rim",1
"unchanged
 small amount",1
few prominent mediastinal lymph nodes,1
"a right
 paratracheal lymph node",1
likely necrotic center,1
approximately 10.4 x 9.2 x 8.8 cm,1
overall measurements,1
the left retroperitoneum,1
12.4 mm,1
a very large bilobed mass,1
small blebs,1
"a calcified
 granuloma",1
"no
 additional suspicious mass lesions",1
a calcified right hilar node,1
both findings,1
"prior examinations

 small amount",1
"[**2130-2-8**] 12:28 pm
 chest",1
ov,1
left upper lobe resection,1
three rounded foci,1
"the left maxillary
 sinus",1
"the
 temporal lobe",1
a power pick,1
mild low-attenuation areas,1
"the
 foci",1
their rounded configuration,1
"respiratory difficulty/ cardiac tamponade
 reason",1
] senapati,1
"three rounded
 hyperdense",1
the parietofrontal region,1
5-mm axial contiguous images,1
"right parietal
 bleed",1
likely c/w acute sinusitis,1
powerpicc line,1
81484,1
an underlying vascular malformation,1
repositi,1
"4:09 pm
 picc",1
04:47,1
"the left temporal
  lobe",1
"the right
 frontoparietal region",1
additional smaller nodules,1
"a
  primary lung carcinoma",1
"the lateral
  pleural surface",1
p pericardial drain removal,1
"the
  inferior aspect",1
10:39 pm,1
"chest mri
 no contraindications",1
69 y/o s,1
s/p pericardial drain removal,1
breath and pericardial effusion,1
"[**2134-8-19**] 4:23 pm
 ct chest w/contrast                                             clip #",1
the left upper lung consolidation,1
parietofrontal,1
81485,1
throacotomy,1
"an underlying vascular
 abnormality",1
"most likely
 represent calcium",1
pick,1
probable small 1 mm calcification,1
"the head
 reason",1
80681,1
the cerebellar tonsillar tips,1
fluid ov,1
relatively prominent compression,1
"the
 cerebellar lesion",1
a prominent hemorrhagic component,1
quite hyperdense,1
the large left frontal metastatic lesion,1
"the extensive
 edema",1
"pe/dvt, s/p lul lobectomy",1
a miniscule hemorrhage,1
"effusion, fluid overload",1
"the known
 edematous zone",1
medial parasagittal subcortical white matter,1
extensive pneumonic consolidations,1
a punctate hyperdensity,1
stereotactic ct,1
third ventriculostomy stereotactic biopsy,1
"*] 3:28 pm
 chest",1
a high left frontal burr hole,1
"no definite
  hemorrhage",1
"the
 portal",1
difficulty/,1
1276,1
the right parietal-frontal region,1
senapati,1
three 1-2 mm rounded dense foci,1
right parietal bleed,1
powerpicc,1
8/29,1
40627,1
"[**2181-8-10**] 5:31 pm
  r picc",1
42cm,1
r dl picc,1
infected vp shunt,1
"[**2181-8-10**] 5:11 pm
 chest port",1
"the
 responsible nurse",1
80680,1
30376,1
3.5 cm distal,1
athersclerotic plaque,1
3.  moderate-to-severe stenosis,1
the smooth septal thickening,1
"more distal
 bronchial impaction",1
the outside hospital ct study,1
approximately 40 hounsfield units,1
biapical pleural scarring,1
"a rounded soft tissue
 density structure",1
"the previously
 noted pulmonary nodules",1
new linear opacity,1
"an
 associated somewhat vague increase",1
thin 2.5-mm axial sections,1
conspicious,1
"axial, coronal, and sagittal sections",1
r-chop,1
"reportedly
 pancreatic primary",1
stable mild blunting,1
"the
  imaging findings",1
"extensive
  centrilobular emphysema",1
"4:17 pm
  findings",1
"a tracheostomy, sternal plate",1
"this ongoing
 partial obstruction",1
stable coronary calcifications,1
"rising
 white blood cell count",1
"the
 caliber",1
other aggressive feature,1
"the
 proximal right humerus",1
an approximately 1.9-cm sclerotic lesion,1
"left
 subclavian line tip",1
a 5-mm hepatic hypodensity,1
the left paramediastinal pulmonary nodule,1
stable thickening,1
"the recent pet/ct
 study",1
81429,1
a partially visualized soft tissue mass,1
a somewhat curvilinear area,1
the most superior paratracheal lymph nodes,1
slice selection,1
"multiple
 paratracheal lymph nodes",1
now      s/p wound closure,1
"moderate
 atherosclerotic calcification",1
"sternal
 wound",1
81613,1
*] m.f.                omed,1
"no enhancing brain
 lesions",1
a cystic structure,1
the vague ground-glass opacity,1
greater than 75%,1
mucous plugging/secretion,1
"the left
 lower lobe bronchus",1
bone fragements,1
the nodular filling defect,1
anterior thecal sac,1
chronic bronchitis,1
prominent bronchial arteries,1
multiple additional osseous lesions,1
3)  multiple liver lesions,1
a non-gated chest pain protocol,1
left adrenal gland,1
celiac region,1
5- mm liver hypodensity,1
no new pleural effusion,1
"multiple
  pulmonary nodules",1
"centrilobular
 emphysematous change",1
"multifocal
  pneumonia",1
"the previous outside
 mri",1
mosaic attenuation,1
"15718**],[**first",1
mosaic,1
lessened,1
airtrapping,1
pulomonary,1
12:41 am,1
the recommendation,1
multifocal air,1
stable multiple pulmonary nodules,1
2.  stable interstitial abnormality,1
"the
 intervertebral disc",1
multilevel calcification,1
the sclerotic lesion,1
the ill-defined soft tissue,1
new multifocal ground glass opacities,1
"air
 trapping",1
the expiration study,1
the past several months,1
80012,1
superimposed smooth septal thickening,1
mild underlying emphysematous change,1
right-sided picc line placement,1
80016,1
[**2101-12-5**] 5:23 pm,1
"] 3:14 pm
 chest",1
"new pna/pneumothorax
 admitting diagnosis",1
"now
      s/p wound closure",1
new pna/pneumothorax,1
"[**3-2**].

 findings",1
a closure device,1
"the mid and lower
 sternum",1
"no new
 infiltrate",1
"renal failure

 reason",1
56759,1
66-year-old male status post cabg,1
wound infection,1
continued diffuse prominence,1
right pigtail drain,1
"the
 left axilla",1
a bone infarct,1
r-ptx,1
right-sided pic catheter,1
the tube cuff,1
the insertion site area,1
"thin
  peripheral rim",1
the lung symmetry,1
"[**2117-5-13**] 3:10 pm
  impression",1
a new band-like area,1
80018,1
56758,1
"no focal
 pulmonary abnormality",1
new pigtail pleural drain,1
", 5:03 p.m.",1
new right pigtail catheter,1
"pigtail placement
 reason",1
28884,1
"viral
 pneumonia",1
a percutaneous gastrostomy tube projects,1
the gastric air bubble,1
":
  assess r lung field",1
a massively dilated collecting system,1
vague ground- glass opacities,1
continued heterogeneous appearance,1
"likely
 due to interstitial pulmonary edema",1
80019,1
"tracheostomy
 position assessment",1
"a small
 left-sided effusion",1
left axilla,1
the recent pet/ct study,1
the right proximal humerus,1
nonaggressive chondroid appearing lesion,1
slightly decreased multiple bilateral pulmonary nodules,1
3.  extensive secretions,1
another neoplasm,1
80020,1
"[**2175-3-7**].

 findings",1
chest wall hardware,1
either endobronchial lymphoma,1
hypersensitivity reaction,1
"viral, pcp",1
nonaggressive,1
"the left apical and lower lung
 zones",1
lymphoma and lll endobronchial lesion,1
heterogeneous opacities,1
assess r lung field,1
remaining cortex,1
bilateral diffuse interstitial opacities,1
normal-appearing right kidney,1
"2:14 p.m.

 findings",1
end-stage hydronephrotic,1
chronic obstruction,1
81610,1
"[**2101-12-8**] 8:57 pm
  pfi",1
hydronephrotic,1
"the
 imaging findings",1
"extensive
 centrilobular emphysema",1
"[**2101-11-30**]  1:33 pm
 ct chest w/o contrast                                           clip #",1
"*] 3:53 am
 chest",1
"[**2175-4-3**].

 findings",1
"four malleable
 plates",1
"surgical
 staples project",1
milder bronchiectasis,1
4)  decreased size,1
rml bronchiectasis,1
molecular,1
the right paratracheal mediastinal widening,1
"the
 predominant enlargement",1
3:16).a,1
"2:33,42",1
conform,1
9699,1
explanations,1
advocated,1
regarded,1
"[**2142-11-23**] 1:35 pm
  increase",1
"[**2142-11-22**].

 findings",1
lessl,1
"the bilateral
 right",1
"pleural effusion,
 pneumothorax",1
"unchanged biapical pleural
 thickening",1
"metastatic
 adenopathy",1
right paratracheal soft tissue abnormality,1
"lymph
 node enlargement",1
fragements,1
"bronchogenic
 neoplasm",1
"mild-to-moderate
 indentation",1
numerous tiny enhancing lesions,1
both levels,1
axial and coronal orientations,1
sagittal 3d mp-rage imaging,1
"axial short tr, short te spin echo imaging",1
"] tr, long te fast spin
 echo",1
new multifocal ground-glass opacity,1
known right middle lobe,1
recent radiotherapy,1
a drug reaction,1
"real
 progression",1
less likely explanations,1
linear ground-glass opacity,1
technical quality,1
"the right middle
 lobe consolidation",1
radiation-induced pneumonitis,1
acute compression fractures,1
the  heart,1
"possible central
 cavitation",1
"the
 case",1
"widened
  mediastinum
 reason",1
"3.5 cm
 distal",1
"nodal
 metastases",1
a possible left lower lobe opacity,1
"[**2134-8-18**]  2:26 pm
 mra chest w&w/o contrast                                        clip #",1
athersclerotic,1
interval t8 collapse,1
7:4,1
strong clinical concern,1
suprihilar mass,1
85720,1
1501:42,1
1501:56,1
suprihilar,1
dephasing,1
jwic,1
small vertebral lesion,1
the left common carotid origin,1
"large bp
  differential",1
"[**2134-8-19**] 2:56 am
  no evidence",1
"no
 mediastinal abnormality",1
likely infection,1
"a left suprahilar
 ill-defined opacity",1
"no
 acute-appearing compression",1
resultant kyphosis,1
several thoracic vertebrae,1
"slight anterior
 wedging",1
profound diffuse osteopenia,1
no other focal airspace process,1
"apical
 irregular pleural thickening",1
the comparison chest ct,1
"an 11 mm
 relatively lucent focus",1
post-treatment response,1
"highly irregular and
 spiculated margins",1
rounded lv enlargement,1
no overall mediastinal widening,1
"the
 right paratracheal soft tissue ""stripe",1
radiographic comparisons,1
"large pressure
 blood differential",1
parenchymal and leptomeningeal seating,1
cortical or pial lesions,1
lll bronchus,1
the primary left hilar lesion,1
"the recent pet
 ct",1
20 x 28 mm,1
"a well-circumscribed
 sclerotic lesion",1
"right pleural
 pigtail catheter",1
49 mm,1
"] 3:29 am
 chest",1
seeing,1
postionning,1
"(cont)
 confluent ground-glass",1
protracted,1
56757,1
this formal interpretation,1
the mid-to- low svc,1
"right decubitus
 postionning",1
outer linear margins,1
either hemithorax,1
"recent radiation
 therapy",1
stable interstitial pulmonary edema,1
no features,1
"[**2101-12-6**]

 history",1
a 3-mm aortopulmonary and 5-mm right hilar lymph node,1
non-smoking female,1
"widespread liver and spinal metastases, radiation",1
small amt,1
"interval
  decrease",1
pulomonary edema,1
t7-s1 vertebrae,1
ground glass attenuation,1
smooth septal thickening and associated areas,1
no large/central pe,1
"r/o pe.
 reason",1
molecular therapy,1
egfr positive status,1
"maximal held
 inspiration",1
"the
 initial ct",1
*] (3:16).a 4-mm hypodense subcarinal lymph node,1
"*]  3:29 am
 chest",1
3512,1
associated smooth septal thickening,1
5:03 p.m.,1
"vertebral
 height loss",1
14:15 hours,1
56875,1
pic catheter,1
the emphysematous lungs,1
"the axillary
 portion",1
previous region,1
"[**2134-8-25**]  8:34 pm
 mr head w & w/o contrast                                        clip #",1
"this
 institution",1
extensive vertebral metastases,1
49556,1
"upper
 lumbar vertebral bodies",1
new compression fractures,1
numerous cortical and leptomeningeal enhancing lesions,1
"the diffusion-weighted
 images",1
chronic small-vessel ischemia,1
deep white matter hyperintensity,1
numerous areas,1
80-90%,1
"[**2101-11-29**] 2:14 pm
 chest",1
the lingular airspace process,1
"report
 ap chest",1
"32 x
 41 mm",1
"subsequent
  examination",1
radiation-induced lung disease,1
s/p pigtail catheter placement,1
"11:58 pm
  small right pneumothorax",1
"tumor
  debulking
 reason",1
lll endobronchial lesion,1
the largest right apical nodule measures,1
55851,1
"the
 apparent previously diagnosed lingular pneumonia",1
8 x 4 mm,1
most likely bony,1
the proximal right humerus,1
"no new
 solid lesions",1
the underlying interstitial lung disease,1
"the
 severity",1
least seven low-attenuation liver lesions,1
"a
 baseline reticular nodular interstitial pattern",1
large parenchymal lingular opacity,1
r/o gout,1
new complaint,1
"a
 large clamp",1
"the
 paraumbilical vein",1
searched,1
curette,1
31902,1
31901,1
iodinated contrast,1
"the
 curette",1
the lost instrument,1
the most caudal sternal wire,1
"recanalized
 paraumbilical vein",1
indeterminate hypodense lesion,1
status post right thoracic surgery,1
postoperative search,1
speculated,1
aortic atherosclerotic disease,1
aortic ectasia,1
6129,1
peripancreatic and mesenteric root stranding,1
previous ultrasound,1
the echogenic lesion,1
additional bilateral pulmonary nodules,1
31903,1
"5:11 pm
  post-surgical changes",1
"bilateral adrenal
 glands",1
non-obstructing stones,1
"upper thoracic
 no contraindications",1
"upper thoracic
 reason",1
the renal collecting systems,1
a 3.5-cm lesion,1
internal fluid density,1
"marked
 atherosclerotic calcification",1
"venous
 collaterals",1
"no
 pathologically enlarged pelvic or inguinal lymph nodes",1
large lobulated mass,1
31021,1
"extensive overlying
 artifacts",1
\,1
pot t1-3 tumor resection,1
"[**2100-8-16**] 9:31 am
 t-spine",1
consults,1
"any possibly laboratory
 abnormalities",1
receives,1
maximum systolic blood pressures,1
the patient's additional vital signs,1
medical icu consults,1
cardiothoracic surgery,1
"continuous
 nursing staff monitoring",1
"status post interval right
 temporoparietal craniotomy",1
hemorrhagic right occipital mass,1
the radiology holding area,1
the core biopsy,1
"new hydrocephalus, shift",1
acute large vascular territorial infarction,1
"bilateral centrilobular
 opacities",1
"right occipital
 mass",1
"the right occipital
 mass",1
a pulmonary hemorrhage,1
"the
 low 90% range",1
the o2 saturation,1
"[**last name (lf) 47564**],[**first name3",1
ct and mr studies,1
"hemorrhagic brain
 mass",1
further care,1
220 mmhg,1
the medical icu,1
"the
 post- procedure",1
patient condition,1
"planned
 fiducial seed placement",1
16.3,1
premedicated,1
core biopsy,1
the high 90% range,1
"5
 liters",1
the 100%,1
the patient's o2 saturations,1
"[**2166-11-28**] 3:30 am
  pfi",1
"the right occipital
  mass",1
"no new
  intracranial hemorrhage",1
"the patient's respiratory
 rate",1
the 100 mmhg range,1
diastolic blood pressures,1
upper thoracic spine- evaluation,1
thecal sac contents,1
60-year-old male patient,1
"sagittal mp-rage and axial short tr, short te spin echo
 imaging",1
"axial and
 coronal orientations",1
60-year-old man status,1
a large right posterior temporal mass,1
"the pre-contrast
 images",1
only minimal enhancement,1
"[**2100-8-20**] 11:30 am
  suboptimal examination",1
"hemorrhage and edema and
 minimal enhancement",1
8084,1
32464,1
some amount,1
"the
 other one",1
"[**2100-8-18**] 7:33 pm
  stable appearance gwlms",1
"r upper lobecty / chest wall resection
 reason",1
pfi): mrsg,1
"[**2100-8-18**] 4:37 pm
 chest",1
sutdy,1
"[**2166-11-21**] 2:15 pm
  pfi",1
posterior t1,1
slightly decreased apical air,1
"recanalized
  paraumbilical vein",1
"*] tr, long te fast spin echo",1
the left-sided lateral chest wall,1
"the single frontal view
 examination",1
a tiny right apical hydropneumothorax,1
"apical chest wall
 resection",1
"cardiomediastinal
 and hilar contours",1
"pfi report
 unchanged",1
76694,1
"a right vats
 procedure",1
"pfi report
 suboptimal examination",1
"9:32 am
 chest",1
78160,1
"[**2166-11-22**] 7:41 pm
 mr head w & w/o contrast                                        clip #",1
a suboptimal technique,1
"no pleural
 effusion accounting",1
the first postop examination,1
the last sternal wire,1
5:58 pm,1
spine-,1
"known right occipital hemorrhagic
 brain metastasis",1
"posterior t1-3
 decompression",1
the recanalized paraumbilical vein,1
the previous ultrasound,1
mildly exaggerated kyphosis,1
no definite correlate,1
the mid thoracic vertebrae,1
"anterior
 wedging",1
no definite hepatic masses,1
no gross prevertebral swelling,1
16.3 cm,1
"a 2.6-cm
 hypodensity",1
"soft tissue
 opacification",1
t1- t3,1
peripancreatic stranding,1
the mesenteric root,1
"the thecal sac
 contents",1
the upper thoracic spine - evaluation,1
5:11 p.m.,1
"the
 prior dictation",1
the echogenic nodule,1
"adjacent
 portions",1
"intra-abdominal
 metastases",1
para-tracheal,1
reported allergy,1
a large solid lobulated mass,1
5.6 x 9.1 cm,1
the present sutdy,1
up to 1.1 x 1.8 cm,1
soft tissue opacification,1
2.  areas,1
compressed adjacent pulmonary parenchyma,1
a plaque-like nodule,1
a 5-mm non-calcified nodule,1
partial laminectomy,1
"the prior
 ct chest",1
"a tiny
 irregular area",1
aortic annular calcifications,1
right apical opacities,1
no pathologically enlarged axillary nodes,1
"mediastinal
 nodes",1
*] m.                   med,1
"47564**],[**first",1
"[**2158-2-2**] 2:37 pm
  pfi",1
patient's physician,1
3.  extensive diverticulosis,1
the adjacent liver,1
"no visceral organ
 injury",1
"the vertebral
 column",1
"the small
 size",1
"multiple wedge-shaped
 regions",1
the right external iliac vein,1
"a
 right femoral line",1
"splenic
 infarcts",1
47565,1
