pretty_name,cui,frequency,average_acc
Structure Of Inferior Portion Of Duodenum,C0227302,6,1.0
Left Anterior Pararenal Space,C2953778,1,1.0
Pulmonary Osteoarthropathy,C0240835,2,1.0
Structure Of Wall Of Urinary Bladder,C0458421,5,1.0
Bone Structure Of Shaft Of Femur,C0588193,2,1.0
Inflammation Or Infection,C0679333,6,0.9598528559228517
Total Dose Administered,C2986497,2,0.8903292798231853
Bile Duct Dilatation Finding,C1879273,2,1.0
Diverticulosis Of The Duodenum,C0341266,3,1.0
Structure Of Right Femur,C4758646,9,1.0
Pneumohydrothorax,C1405195,3,1.0
Costal Somatic Dysfunction,C1562042,9,1.0
Scope,C1710028,8,1.0
Assure,C1658314,3,1.0
Data Transmission,C0332289,1,1.0
Very Difficult,C3843353,10,1.0
Non Interpretable,C3897243,4,1.0
As Soon As Possible,C4039399,2,1.0
Arranged Transportation,C1546854,3,1.0
Ablactation,C0043084,40,1.0
Assisted Ventilation Therapy,C0554804,3,0.7700682971040375
Event Reason,C1550356,2,1.0
Ras Renal Artery Stenosis,C0035067,12,1.0
24 Hrs,C3842953,2,1.0
Point In Time,C2348792,1,1.0
Respiratory Equipment Tracheostomy Tubes,C0184159,5,1.0
Much Worse,C3841448,2,1.0
Trachea And Esophagus,C0545665,10,1.0
Kawasaki Disease Associated Coronary Artery Aneurysm Z Score Suggests No Involvement,C5238767,2,1.0
Structure Of Auricular Appendage,C0225832,12,1.0
Left Cardiac Ventricular Structure,C0225897,8,0.9900000000000001
Malignant Lymphoma Non Hodgkin S Type,C0024305,1,0.99
Approach Spatial,C0449445,3,1.0
Cortical Thickening,C2677810,1,1.0
Aorta And Pulmonary Artery,C0545735,9,1.0
Renal Artery And Its Branches Body Structure,C1261215,1,1.0
Platelet Activating Factor Phosphonate,C0619926,1,1.0
Hepatobiliary System,C1711359,4,1.0
Transmission Process,C1521797,3,0.8466572506554618
Antistreptococcal Antibody Titer Elevated,C0238664,1,1.0
Right Femoral Bruit,C2201656,1,1.0
Ultrasound Of The Groin,C1660279,1,1.0
Pericardial Cysts,C0031038,1,1.0
Ultrasonography Of Abdomen,C0203464,4,1.0
Structure Of Gallbladder Fossa Of Liver,C0227511,13,1.0
Computed Tomography Of Abdomen : Pancreas Not Well Visualized Procedure,C2220631,2,1.0
Not Fused,C4086630,1,1.0
Haematoma Of Neck,C0746795,1,1.0
Exophytic Polypoid Lesion,C1514211,3,1.0
Axial Hiatal Hernia,C0860245,8,1.0
Herniorrhaphy,C0019328,8,1.0
Thoracolumbar Vertebral Column,C1443270,3,0.7647169380995238
Chest Diseases,C3826591,1,1.0
Chest Lung Abdomen Liver,C4266618,4,1.0
Mass Of Thyroid Gland,C0349453,6,1.0
Structure Of Rectouterine Pouch,C0013075,2,0.9307156709233559
Burden,C2828008,31,1.0
Kidneys Liver,C0545792,2,1.0
Bacteraemia Due To Methicillin Resistant Staphylococcus Aureus,C4040349,9,1.0
Subcutaneous Infusions,C0576773,1,1.0
Incident,C1551358,3,1.0
Reticuloendothelial System Erythrocytes,C0014792,6,0.9804406032182121
Parenteral Administration By Intravenous Injection,C0021494,5,1.0
Sixty Minutes,C3853333,7,1.0
Blood Pool,C4266466,9,1.0
Technetium Pertechnetate,C0205962,1,1.0
Overall Research Strategy,C0681871,3,1.0
Hernia Of Cerebellar Tonsil Into Foramen Magnum,C0393983,29,0.9916909301300476
Chest Lung . Left,C4266610,5,1.0
Incomplete Expansion,C1400465,4,1.0
Structure Of Apex Of Heart,C0225811,1,0.7646460964973677
To Some Extent,C1555600,3,1.0
Chest Effusion,C1390440,4,1.0
Empyema And Pneumothorax,C0810297,1,1.0
Finding Of Haematocrit,C0518014,13,0.9434637249461759
Decrease In Hematocrit,C0744727,24,1.0
Expiratory Computed Tomography,C4304110,1,1.0
Malignant Neoplasm Of The Mesothelium,C0345967,6,1.0
Lower Extremity . Right Lower Extremity Veins,C1508634,1,1.0
Structure Of Ligament,C0023685,12,0.8752095090084357
Enlarged Mesenteric Lymph Node,C4476563,2,1.0
Neurodegeneration With Brain Iron Accumulation 2A,C0270724,1,1.0
Prominent Ventricles,C3809116,6,1.0
Thoracic Paracentesis,C0189477,2,1.0
Longest Measurement,C0552406,8,1.0
Anisocoria Unequal Pupil Diameter,C0003079,4,1.0
Physical Examination Finding,C2826729,2,0.8483739280887648
Enlarged Axillary Lymph Nodes Bilaterally,C2237501,1,1.0
Deforming,C0333067,10,1.0
Ultrasound Of The Chest,C0883613,5,1.0
Merged,C1881786,3,1.0
Mental Change,C1405586,8,1.0
Severe Disease,C4740692,1,1.0
Bone Formation Function,C0029433,6,0.9916666666666667
Chronic Collapse,C1265581,1,1.0
Chronic Respiratory Failure,C0264492,3,1.0
Venipuncture Procedure,C0600406,4,0.9817003000020368
Aneurysm Clips,C0179977,5,1.0
Communicating Artery,C1707451,4,1.0
Aneurysm Of Posterior Communicating Artery,C0751002,1,1.0
Structure Of External Iliac Artery,C0226398,8,0.8441903575684291
Thallous Chloride,C0076368,2,1.0
Sestamibi,C1337333,9,1.0
Pre Operative Evaluation,C1293091,3,1.0
Zeptogram Per Femtogram,C0439272,5,1.0
Minute Of Time,C0439232,15,0.8503553340555757
Gated,C4266464,21,1.0
Calculated Left Ventricular Ejection Fraction,C4525750,6,1.0
Cavity Of Ventricle,C0507083,7,0.7953835272839382
Examination Of Lungs,C2228454,4,1.0
Evolving,C0332253,4,1.0
Aneurysm Repair Procedures,C0189661,4,1.0
Angiography Of Intracranial Vessels,C0007767,2,1.0
Diagnostic Service Neuroradiology Lab,C2183225,5,1.0
Under Local Anaesthesia,C1720162,7,1.0
Structure Of Left Internal Carotid Artery,C0226157,15,0.8526449926893546
Ruptured Aneurysms,C0162869,1,1.0
Area 7 Of Brodmann Guenon,C3853818,1,1.0
Senile Cerebral Amyloid Angiopathy,C2931784,1,1.0
Dural Calcifications,C5393946,1,1.0
Medical Device Break,C1881704,2,1.0
Calvarial Defect,C4280596,2,1.0
Craniotomy Temporal,C0742901,6,1.0
Biopsy With Ct Guidance Of Left Lung,C4510209,5,1.0
Adequacy Of Specimen,C1299490,1,1.0
Speciman Obtained By Fine Needle Aspiration Procedure,C1280568,3,1.0
Culture For Fungus,C0200954,1,1.0
Etiology Unknowns,C0743626,24,1.0
Guidance For Percutaneous Biopsy : Find : Pt : Chest Lung : Doc : Imaging Modality,C4532076,7,1.0
Appreciation,C2346843,2,1.0
Abnormal X Rays,C0000766,3,1.0
Penetrating,C0205321,6,1.0
Normal Lung,C5231182,4,1.0
Abdominal Imaging,C4481095,7,1.0
Luman Of Aorta,C0506213,1,1.0
Pyogenic,C5453042,2,1.0
Paid Hours,C0871051,13,1.0
Probably Present Qualifier Value,C1444704,4,1.0
Electrical Arcing,C1879730,3,1.0
Interlobar Fissures,C3498467,5,1.0
Content Of Mediastinum,C2339554,10,1.0
Entire Left Hemithorax,C1284911,6,1.0
Fdg Positron Emission Tomography And Computed Tomography Scan,C4521453,7,1.0
Understanding Function,C0162340,3,1.0
Consented Qualifier Value,C2711213,2,1.0
Polymethyl Methacrylate Containing Product,C0005533,2,1.0
Chest Aortic Arch Head Neck Carotid Artery,C4299158,1,1.0
Rotators,C0183065,2,1.0
Other Malignancy,C1707251,1,1.0
Per Protocol,C1698058,5,1.0
Nephrectomy Of Left Kidney Treatment,C2222800,7,1.0
Centering,C0935444,1,1.0
Erosion Of Bone,C0587240,1,1.0
5 Levels,C0456951,12,0.9991666666666666
Epidural Intracranial Haemorrhage,C0238154,5,0.8625049526887267
Thoracic Portion Of Spinal Cord,C0581620,6,0.7729874768411539
Intracanalicular Route Of Administration,C4330494,1,1.0
Sacral Perineural Cysts,C0520720,3,0.9295753686538643
Pelvis Sacrum Sacroiliac Joint,C5187190,1,1.0
Structure Of Medial Surface Of Thigh,C0230423,1,1.0
Bronchoscopy With Bronchoalveolar Lavage,C0396473,1,1.0
Patient Identity,C0747303,15,1.0
Diffuse Cortical Atrophy,C4693665,1,1.0
Lasix,C0699992,4,1.0
Neck Structure,C0027530,17,0.8439145193411591
Haemorrhagic Infarction,C0333549,3,1.0
Magnetic Resonance Imaging Angiography Of Head,C1636167,3,1.0
Neck Vessels,C0947149,5,1.0
Normal Variations,C0544712,9,1.0
Disorder Of Paranasal Sinuses,C0030469,19,1.0
Ligamentum Teres,C3241921,3,1.0
Acute To Subacute,C3686939,4,1.0
Aspects Of Congenital Malformations,C0243070,15,1.0
Nonspecific Pain In The Neck Region,C0007859,20,0.9536335060619224
Carotid Arteries Bilateral,C0947108,1,1.0
Slipping,C0337209,4,1.0
Lesions In The Basal Ganglia,C1389273,1,1.0
Facial Fractures,C0743751,6,1.0
Meningioma Of The Foramen Magnum,C1333630,1,1.0
Skeletal System Of Thorax,C0222762,20,1.0
Mediastinal Displacement,C1403670,6,1.0
Bone Oedema,C2609134,2,1.0
Desiccation Action,C0011682,5,0.7832940393229574
Compression Fracture Of Second Lumbar Vertebra,C4040439,1,1.0
Magnetic Resonance Angiography,C3891069,3,0.7722332766442195
Carotids Doppler Ultrasound,C0741988,1,1.0
Calcification Of Aortic Valve,C0428791,4,0.8464917997635288
Staphylococcus Aureus Subsp . Anaerobius,C0038172,2,1.0
Infarction Posterior Cerebral Artery,C0752132,2,1.0
Paired,C1709450,12,1.0
Term Lexical,C1705313,4,1.0
D At,C0283910,1,1.0
Word Finding Difficulty Disorder,C0454643,3,1.0
Volume Rendering,C2986838,1,1.0
Colloid Cysts,C0333157,1,1.0
Upper Lobe Segment Of Left Pulmonary Artery,C1180557,3,0.9212413288785689
Specimen Type Sputum Coughed,C0370205,4,1.0
Valvular Calcifications,C4227669,9,1.0
Stricture Of Oesophagus,C4551650,14,1.0
Few Minutes,C4036224,1,1.0
Somewhat Difficult,C3843068,5,1.0
Malignant Tumour Of Larynx,C0007107,5,1.0
Magnetic Resonance Imaging Of Abdomen,C0412693,13,1.0
Left Side Only,C3842976,2,1.0
Bilateral Adrenal Hyperplasia,C2062372,1,1.0
Xylocaine,C0699094,1,1.0
Side To Side,C0516750,1,1.0
Techniques Subtraction,C0038603,1,1.0
Tracker,C1550489,2,1.0
Slurry,C1883043,5,1.0
90 Minutes,C1442473,6,1.0
Proximal Segment Of Free Lower Limb,C0039866,4,0.7815020450717791
Possible Improvement,C1709605,1,1.0
Lesions On Supraclavicular Region Of Chest,C2089621,1,1.0
Biopsy Of Cervical Lymph Node,C0398433,1,1.0
Irregular Lesions,C2168444,1,1.0
Mediastinal Drain,C3879649,28,1.0
Repair Of Chest Wall,C0198375,1,1.0
Subdivision Of Chest Wall,C0818606,1,1.0
Lead Tip Device,C1708663,8,1.0
Silent Aspiration,C4324315,12,1.0
Does Cough,C0687152,36,0.9184589506037116
Impaired Sensation,C0020580,1,1.0
Transfer In,C1547239,2,1.0
Mechanical Aspirations,C0038638,16,0.9242167623649207
Paralysis Laryngeal,C0086523,1,1.0
Multi Detector Computed Tomography Angiography,C4763552,3,1.0
Transaxial Plane,C2986831,6,1.0
3 Lead Electrocardiogram Rhythm Strip : Pacemaker In Place,C2041133,4,1.0
History Of Lymphadenopathy,C1997617,2,1.0
Hemorrhage Of Mediastinum,C1112480,11,0.9918181818181818
Cardiac Catheterisation Procedure,C0018795,4,0.942814347922202
Inferior Vena Cava Structure,C0042458,26,0.9845192269310841
Intra Aortic Balloon Pump Consoles,C0702122,6,0.9983333333333334
Septic,C0333534,28,1.0
Tumour Thrombus,C3163918,11,1.0
Pretracheal Lymphadenopathy,C1264065,1,1.0
Deep Venous Thrombophlebitis,C0151950,45,1.0
Focal Calcium Deposition,C1265880,3,1.0
Hyperintensity Of Cerebral White Matter On Mri,C2938912,5,0.887209394346425
Corona,C3053990,6,1.0
Biologic Consumption,C1947907,1,1.0
Margination,C0332473,2,1.0
Abdominal Circumference,C1300813,1,1.0
History Of Bowel Obstruction,C4038779,1,1.0
Day 3,C3842675,5,1.0
Loops,C0181687,5,0.7950466941872859
Albumins,C0001924,2,0.8746181752399713
Determination Of Venous Pressure,C0199665,7,0.7906649489588676
Interpolation Imputation Technique,C2825517,16,1.0
Loading Technique,C1708715,6,1.0
Acuities,C0750509,3,1.0
Tympanic Abdoman To Percussion,C0426675,2,1.0
Ms S,C0721498,3,1.0
Diminished Breath Sounds,C4061156,1,1.0
Generalised Multiple Sclerosis,C0026769,5,1.0
Triple Luman Catheter,C1301750,8,1.0
Progressive Volume Loss,C5394406,1,1.0
Mitral Valve Stenosis,C0026269,1,1.0
Gastric Distention,C0848337,7,1.0
Decompression Tubes,C0184113,1,1.0
Suprahilar Lung Mass,C0749166,4,1.0
Cytology Brush Device,C0179448,1,1.0
Syndromes Paraneoplastic,C0030472,1,1.0
Coaxial Biopsy System,C5204816,5,1.0
Apical Pleural Thickening,C5139173,31,1.0
Gastrointestinal Bleeding Retroperitoneum,C0151705,26,0.9893956769406228
Proximal Muscle Weakness,C0221629,1,1.0
Diffuse Calcium Deposition Calcified Structure,C1265885,8,1.0
Light Intensity,C0596836,3,1.0
Congenital Familial And Genetic Disorder Class,C0851352,1,1.0
Diminished Bowel Sounds,C0232695,1,0.7583555109940492
Upper Extremity . Right Forearm,C0230360,1,1.0
Recanalized,C0333328,6,1.0
Nasogastric Placement Tube,C0746772,22,1.0
Lovenox,C0728963,19,1.0
Anatomic Site Of Metastasis,C5419525,5,1.0
Endotracheal Airway Device,C0336630,6,0.8434041401841982
Ureteral Stents,C0183518,8,1.0
Ct Of Abdomen And Pelvis Without Contrast,C2939268,1,1.0
Stent Migration,C4087543,5,1.0
No Loss,C3845646,5,1.0
Thrombus Of Left Atrium,C3532827,2,1.0
Endotracheal Tube In Place,C2702636,7,1.0
View Waters,C0883435,4,0.9391952591520493
Subchondral Bone Cyst,C0038529,6,1.0
Fluid For Intravenous Administration,C1289919,5,1.0
Subdural Fluid,C1550308,13,1.0
Physical Assessment Findings,C1509143,3,1.0
Compression Lung,C1393550,1,1.0
Injury Of Neck,C0027531,2,1.0
Eighth Rib Fracture,C0920007,3,1.0
Ultrasound Of The Pelvis,C0948766,3,1.0
Thoracoscopic,C0442425,5,1.0
Benign Fibroblastic Neoplasm,C1332501,1,1.0
Gallbladder And Bile Ducts Structure,C0545801,1,1.0
Few Colonic Diverticula,C0940686,1,1.0
Other Imaging Studies,C2015796,1,1.0
Processing Technique,C1709694,18,1.0
Equilibrium Phase,C4554582,1,1.0
Characteristics,C1521970,2,1.0
Clinical Management,C1516615,3,1.0
Medical Imaging Three Dimensional,C0887832,7,1.0
Hemithorax Opacification,C0744751,9,1.0
Cortex Of Right Kidney,C0734742,1,1.0
Structure Of Upper Respiratory Tract Cavity,C0225377,5,1.0
Sixty Two,C4517835,1,1.0
Incidental Findings,C0743997,5,1.0
Sized Small,C0748864,10,1.0
Same As Attribute,C1278655,1,1.0
Abdomen Pelvis Ureter Pelvis Urinary Bladder,C4266662,5,1.0
Lung And Pleura,C0302192,2,1.0
No Solids,C5571045,3,1.0
Vicryl,C0947694,6,1.0
Melandrium,C0950000,3,1.0
Strip Medical Device,C1321564,3,1.0
Amylase Lipase,C2928321,1,1.0
Increased Amylase,C0151479,1,0.7571221761512101
Polyp Of Gallbladder,C0262493,3,1.0
Thoracic Aortic Dissection,C3809514,8,1.0
Measurable,C1513040,5,1.0
Caking,C0452597,1,1.0
Further Enlargement,C4688471,1,1.0
Ineffective,C3242229,12,1.0
Respiratory Insufficiency,C0035229,3,1.0
Minute Diminutive,C1282918,7,0.8709831696958235
Except For,C0332300,3,1.0
Bilateral Breast Implants Physical Finding,C2239094,1,1.0
Ventilating,C0231923,16,0.9857181172162317
Complete Atelectasis Of Left Lung,C0546330,18,1.0
M Metastasis Stages,C0456533,1,1.0
Subependymal Region,C0521406,6,1.0
Beam Hardening Artifact,C2828112,4,1.0
Quadriplegics,C3825769,1,1.0
Endplate Of Intervertebral Disc,C4249798,1,1.0
Diaphragmatic Lymphadenopathy,C1264083,1,1.0
Multiple Abnormalities Qualifier,C5234981,3,1.0
Atrium Cordis Sinistrum,C0225860,5,0.7903096808190602
Structure Of Vein Of Pulmonary Circulation,C0034090,10,0.7936621137321543
Diverting,C0743226,14,1.0
Radiofrequency Interstitial Ablation,C0850292,5,0.9641874661788522
General Anesthesia Procedure,C0002915,4,0.8247752479077115
History Of Dementia,C0455499,2,1.0
Confirmation,C0750484,11,0.8431392454710476
Iiia Virus,C4697913,18,1.0
Metastatic Malignant Neoplasm To Brain,C0220650,6,1.0
Terminal Oesophageal Ring,C0267081,1,1.0
Superior Margin,C4319504,9,1.0
Dissecting,C0205239,1,1.0
Nadh Ubiquinone Oxidoreductase 1 Beta Subcomplex 8,C1417640,2,1.0
General Surgery Specialty,C1274039,4,0.8165039238734509
Neoplasm Of The Thorax,C0039981,1,1.0
X Ray Report,C3842472,2,1.0
Information Recipient Referred To,C1555599,3,1.0
Coalesced,C4727092,3,1.0
Physical Mobility Impairment,C0518456,3,1.0
Structure Of White Matter Of Occipital Lobe,C0228222,1,1.0
Coronary Artery Bypass Graft Operations,C0010055,19,0.9899999999999999
Diffuse Pulmonary Fibrosis,C0865849,1,1.0
Subpleural Honeycombing,C4703451,1,1.0
Transthoracic Needle Aspiration Biopsy,C1301055,1,1.0
Acute Exacerbation Of Idiopathic Pulmonary Fibrosis,C5230587,1,1.0
3 Weeks,C1442462,4,1.0
Wedge Biopsy,C0192152,6,1.0
Ipf Idiopathic Pulmonary Fibrosis,C1800706,7,0.9746032029140155
Cxr Single View,C3863779,1,1.0
Dystrophin Associated Protein Basic A1,C1420297,2,1.0
Superolateral,C1179864,2,1.0
No Indication Of,C0521090,4,1.0
Guidance For Percutaneous Aspiration . Fine Needle : Find : Pt : Xxx : Doc : Ct,C1114412,2,1.0
Cytoleichus,C0323679,1,1.0
Use Aspirin,C1388856,1,1.0
3 Severe,C3842510,2,1.0
Perfectly Clear,C5571120,1,1.0
Hippocampal Structure,C0019564,4,0.9924999999999999
Right Uncus,C2952073,2,1.0
Cerebrovascular System Structure,C0225992,1,1.0
Paraneoplastic Limbic Encephalopathy,C0338430,3,1.0
Not Related,C1546988,1,1.0
40 Years,C4699619,22,1.0
Observation Of Nausea,C0027497,9,0.8937175861912365
Restasis,C1170584,1,1.0
Imaging Study With 3 Dimensional Rendering,C2047967,2,1.0
Thrombosis Of Blood Vessel,C2586211,1,1.0
External Auditory Canal Structure,C0013444,1,0.7639968335182972
Lack Of Memory,C0751295,3,0.8685713294946203
Floor Story Of Building,C1547707,5,0.9526861005197805
Whole Brain Radiation Therapy,C1520143,4,1.0
Diagnostic Lumbar Spinal Puncture,C0553794,10,0.8494422431000354
Infratentorial Brain Structure,C0228067,5,1.0
Calvarial,C2825501,9,1.0
Body Position Kneeling,C1260920,1,1.0
Structure Of Cortex Of Frontal Lobe,C0228196,5,0.8316237103544554
Acute Haemorrhage,C0333276,13,1.0
Multiple Heads,C5233361,2,1.0
Collapse Of Lung Present,C5395702,5,1.0
Subglottic Tracheal Narrowing,C1844523,3,1.0
Neck Subcutaneous Emphysema,C0240487,6,1.0
Thyroidectomy Status,C1406947,1,1.0
7 Days Ago,C5570862,2,1.0
Loculated Effusion,C1265808,49,1.0
Tumour Haemorrhage,C0877584,1,1.0
Structure Of Right Internal Thoracic Artery,C0500531,15,0.8717010042251053
Anhydrous Ethanol,C0085733,1,1.0
Not Demonstrated,C4697740,2,1.0
Respiratory Pulmonology,C0034060,1,1.0
Patient Feeding Technique,C0204695,1,0.7919900999693256
Electrocardiogram : T Wave Observable Entity,C0429104,1,0.7785271881418161
Changes In Electrocardiogram,C0855329,7,1.0
Wall Motion,C1980023,7,1.0
Drainage Using Computed Tomography Guidance,C3839476,8,1.0
Right Mammary Part Of Chest,C0222600,4,0.7867036522355306
Scoliosis Severe,C2674596,7,1.0
Concave,C0521162,6,1.0
Interlobar,C1512855,16,1.0
Necrotic Lung Abscess,C2200112,3,1.0
Catheter Fastener,C2356412,1,1.0
Fluid Aspiration,C0941215,3,1.0
Mass Of Posterior Mediastinum,C2062848,3,1.0
Not Given,C4698125,2,1.0
Lumbar Region Of Back,C0230102,1,0.7782145927662426
Moderate Intensity,C4081855,1,1.0
Temporal Lobe Infarct,C3809093,1,1.0
Left Hip Region Structure,C0524471,3,1.0
Sacroiliac Joint Structure,C0036036,2,0.7745245778122816
Image Quality,C0806487,5,1.0
Persistently,C0750508,15,1.0
Administration Of Antibiotics,C0199779,1,1.0
Nucleus Thoracicus Of Clarke,C2327870,2,1.0
Previous Trauma,C1407147,1,1.0
Computed Tomography Of Chest Abdomen And Pelvis Procedure,C1688605,1,1.0
Spin Echo Imagings,C4279955,16,1.0
Chronic Osteomyelitis,C0008707,1,1.0
Chronic Infectious Disease,C0151317,2,1.0
Electronic Portal Imaging Devices,C3687905,1,1.0
Level Of The Third Thoracic Vertebra,C0446421,2,0.9057601635344716
Level Of The Fourth Thoracic Vertebra,C0505385,3,0.9899999999999999
Vertebral Body Abnormalities,C1857648,2,1.0
Lumbar Cords,C3853029,1,1.0
Structure Of Descending Portion Of Duodenum,C0227301,9,1.0
Calcification In The Basal Ganglion,C1389280,4,0.8624173685452298
Short Chain Dehydrogenase Reductase Family 18C Member 1,C1413969,3,1.0
Atherosclerosis,C0004153,3,0.7695932360765484
Postoperative Infection,C0392618,1,1.0
Laceration Of Spleen,C0347636,8,1.0
Bearing Device,C1704689,1,1.0
Abnormalities Of The Basal Ganglia,C4520981,1,1.0
White Matter Of Left Temporal Lobe,C2334847,1,1.0
Neurology . Resident,C4298928,2,1.0
Intervertebral Disc Structure Of Third Cervical Vertebra,C0223127,1,1.0
Multiple Pulmonary Embolus,C0748128,3,1.0
Merging,C4297013,1,1.0
Computed Tomography Of Abdomen : Adrenal Gland Not Visualized Procedure,C2198715,1,1.0
Multisection : Finding : Point In Time : Abdomen : Narrative : Mri,C0881795,5,1.0
A Tube Shaped Organ Structure,C0687028,8,0.8931684696182234
Peri Aortic,C0442134,1,1.0
Tubes Rectal,C0150740,4,1.0
Metastatic Malignant Neoplasm To Pancreas,C0346976,1,1.0
Multisection : Find : Pt : Abdomen : Doc : Us,C0881797,8,1.0
Reportings Incident,C0178896,1,1.0
Left Antecubital Fossa,C0694648,8,1.0
Radial Pulse Function,C0232142,1,0.9331840935806184
Warm Compresses,C2064708,1,1.0
Plastic Surgical Procedures,C0677616,1,0.9012361597522629
Early Necrosis,C1265869,1,1.0
Hemispheric Regions,C3499130,1,1.0
Nervous System Pituitary,C0032005,7,1.0
Secondary Lesion,C1519215,2,1.0
Abscess With Diverticular Disease Of Colon,C0581275,11,1.0
Nonspecific Pain In The Lumbar Region,C0024031,4,1.0
Fusiform Abdominal Aortic Aneurysm,C4703459,2,1.0
Sigmoid Abscess,C1385600,1,1.0
Reduced Renal Function,C1969965,1,1.0
Vascular System Disorders Disorder Of Aorta,C0003493,4,1.0
Gliotic Changes,C4747765,1,1.0
Intracranial Aneurysm,C0007766,1,1.0
Electrolyte Regulation,C0553740,1,1.0
Perinephric Fluid,C4510374,3,1.0
Tracheal Narrowing,C4692722,8,1.0
Necrotic Neoplasm,C1300818,5,1.0
Passive,C3686820,8,1.0
Conclude Resin,C0917903,2,1.0
Drug Administration Via Jejunostomy,C1522195,63,1.0
Structure Of Left Anterior Naris,C4509962,1,1.0
Scalpel Blades,C0179326,3,1.0
Disconnection,C1880354,2,1.0
Translucencies,C0522503,11,0.9936363636363637
Reverses,C1555029,2,1.0
Lupron,C0701459,3,1.0
Klebsiella Bacteraemia,C0745527,2,1.0
Monoplatin,C4277135,1,1.0
Dm Diabetes Mellitus,C0011849,1,1.0
Pvd Peripheral Vascular Disease,C0085096,3,1.0
Femoral Catheter,C0179571,4,1.0
Lower Extremity Rash,C0240250,1,1.0
Infecting,C0439663,3,1.0
Shortness Of Breath Question,C5446835,3,1.0
Local Infection Of Wound,C0043241,14,0.9811243782224478
Chest Fistula,C1390433,1,1.0
Flap Repair,C1660608,2,1.0
No Communication,C4693928,1,1.0
Osteomyelitis Of Sternum,C0749007,1,1.0
Fistulous,C0333329,8,1.0
Past Treatments,C2945691,1,1.0
Spherical Shaped,C0332501,4,1.0
Slowing,C0439834,2,1.0
Bpifa1 Wt Allele,C3889133,1,1.0
Steri Strip,C0727944,1,1.0
2 Slightly,C3843092,1,1.0
Magnetic Resonance Imaging Venography,C1690005,2,1.0
Systems,C0449913,5,0.8225113027209379
Proliferation Intimal,C0334096,2,1.0
Depositions,C0333562,2,1.0
Ambulatory Care Services,C0002423,3,1.0
Monitored Anesthesia Care Mac For Deep Complex Complicated Or Markedly Invasive Surgical Procedure,C0812595,1,1.0
Predominately,C0332251,3,1.0
Aspirate Substance,C0370199,7,1.0
Compliance With Treatment,C1321605,4,1.0
Exudates And Transudates,C0015389,1,1.0
Pleural Effusion Associated With Pulmonary Infection,C0264550,12,1.0
Verifying Speciman,C1553511,5,1.0
Sedations Deep,C1956064,1,1.0
Anesthesiology . Team,C4740258,2,1.0
Sequencing Target Region,C4727201,1,1.0
With Colour,C0522507,2,1.0
Head Position Finding,C0582540,1,1.0
Pleural Fluid Cytology,C2082500,2,1.0
Portal Vein And Hepatic Vein,C1978442,3,0.9899999999999999
Diverticulum Of Renal Calyx,C2315541,6,0.9933333333333333
Pleural Cytology,C5421093,1,1.0
Obstructive Diseases,C0746982,2,1.0
Lower Extremity . Left Lower Leg,C0230443,1,1.0
Injector Device,C0181342,1,1.0
Duplication Finding,C0332597,7,0.9831069267846663
Slightly Above,C3843214,4,1.0
Pain In Right Lower Limb,C0564823,1,1.0
Defect Wedge Shaped,C1394863,2,1.0
Structure Of Bone Marrow Fatty Tissue,C0229602,3,1.0
Structure Of Red Bone Marrow,C0229624,2,1.0
Situational Awarenesses,C0004448,7,1.0
History Of Stroke Of Cerebellum,C4039739,1,1.0
Nasal Septum Structure,C0027432,5,0.9506940499321115
Hiv Related,C1550476,1,1.0
Cerebral Infarction Posterior Circulation Brain Stem Infarction,C0521542,3,1.0
C News,C0599899,1,1.0
Ldlr Chaperone Mesd Sentrin Specific Protease 1 Fusion Protein,C3537413,2,1.0
Inferior Mesenteric Artery Occlusion,C4536461,1,1.0
Mesenteric Root,C4524867,3,1.0
Diminutive,C3842384,16,1.0
Structure Of Mesenteric Vein,C0025473,5,1.0
Abnormality Of The Liver,C4021780,4,1.0
Retaining,C0333118,2,1.0
Supraorbital,C2987152,1,1.0
Contrast Enhanced Magnetic Resonance Imaging,C1707501,6,1.0
Pain Question,C5420158,1,1.0
Monochrome Image,C2827989,2,1.0
Severe Hydronephrosis,C0237061,1,1.0
Structure Of Calyx,C0022651,1,1.0
Resected Mass,C1335760,2,1.0
Periventricular White Matter Changes,C1853380,2,1.0
Parenchymal Atrophy,C5563180,6,1.0
Physiologic Imaging,C1517324,2,1.0
Reliable,C3858758,3,1.0
Lesion With Spiculated Margin,C1268670,11,1.0
Numbness Of Left Leg,C2219779,2,1.0
Vascularization,C0042382,1,1.0
Bypass Graft Thrombosis,C4087533,2,1.0
Cold Left Leg,C2106378,1,1.0
History Of Emphysema,C4047992,1,1.0
Maroon Stools,C2130275,2,1.0
Thrombosis Thrombus,C0302148,2,1.0
Radiotracers,C0597354,11,1.0
Red Blood Cell Scan,C0948706,1,1.0
Intra Abdominal Haemorrhage,C0236178,5,0.99
Blood Product Administration By Intravascular Infusion,C0005841,7,1.0
Lesser Curvature Gastrohepatic Ligament Node,C2950989,1,1.0
Patient Refused,C3845227,2,1.0
Time Between Waking And First Smoke After 60 Minutes,C5235996,1,1.0
Structure Of Petrous Part Of Temporal Bone,C0031266,1,0.9717866585466157
Disorder Of Liver,C0023895,8,0.8575967446595609
Subdural Hematomas Acute,C0749098,1,1.0
Sulci Cerebrales,C0458394,5,1.0
Head Sinuses,C4071871,11,0.9062103065630134
